title,description,pricing,tags,utility_score,link,pros,image_url,slug,created_at
Canva AI Image Generator,Generate AI images from text online with Canva's text to image app.,Free,"[""I want to generate images from text"", ""Generative AI"", ""Productivity""]",92,https://www.canva.com/ai-image-generator,"[""Easy Interface"", ""Fast Generation"", ""High Quality""]",https://content-management-files.canva.com/34d16ddd-5cf7-4b6b-908e-ddd00666e569/AIimagegenerator-AI-.png,canva-ai-image-generator-195,2026-07-29T16:45:33.873197+00:00
Microsoft Character Generator,"AI-powered character generator for creating characters, social media posts, and icons",Free,"[""character"", ""AI Generator"", ""Microsoft""]",85,https://www.microsoft.com,"[""Free Icons"", ""Social Media"", ""Office Integration""]",,microsoft-character-generator-3,2026-05-28T14:17:44.219768+00:00
GrowthBar,"AI-powered SEO tool for keyword research, content outlines, and competitive analysis",Paid,"[""seo tools"", ""Keyword Research"", ""Content Optimization""]",91,https://growthbar.io,"[""User-friendly"", ""Actionable Insights"", ""AI Writing""]",,growthbar-25,2026-05-28T14:30:54.581945+00:00
AIVA,AI music generator for professional workflows,Paid,"[""Music"", ""Generative AI"", ""Productivity""]",92,https://aiva.ai,"[""MIDI Support"", ""Multi Track"", ""DAW Integration""]",,aiva-41,2026-05-28T15:10:04.147126+00:00
Character AI,AI-powered character generator for creating consistent characters,Freemium,"[""character"", ""Generative AI"", ""Productivity""]",95,https://character.ai,"[""Fast Response"", ""Ad Free"", ""Priority Access""]",https://character.ai/character-ai.jpg,character-ai-1,2026-05-28T14:17:42.356859+00:00
Adobe Firefly,A dedicated AI design tool for generating high-quality visuals with simple text prompts.,Free,"[""design"", ""AI Design"", ""Graphic Design""]",95,https://www.adobe.com/firefly,"[""Text-to-Image"", ""Generative Fill"", ""3D Text""]",,adobe-firefly-61,2026-05-28T18:52:34.293462+00:00
Veo,AI video generator with physics-based motion and cinematic rendering.,Free,"[""video"", ""Generative AI"", ""Physics-based""]",88,https://veo.ai,"[""Physics-based"", ""Cinematic Render"", ""Audio Sync""]",,veo-63,2026-05-28T19:04:18.299248+00:00
Vidocu,Convert PDFs to videos with auto-summarization and multilingual narration.,Free,"[""Pdf to video"", ""Generative AI"", ""Productivity""]",90,https://vidocu.ai,"[""Auto Summarize"", ""Multi Lingual"", ""No Signup""]",https://vidocu.ai/og.png,vidocu-97,2026-06-04T12:29:11.441258+00:00
Invofox,"Extract data from invoices, receipts, payslips, bank statements with multi-language support.",Paid,"[""I need to extract text from a messy scanned receipt and format it into clean JSON"", ""Generative AI"", ""Productivity""]",90,https://invofox.com,"[""Multi Language"", ""Easy Extract"", ""Fast Processing""]",https://www.invofox.com/_astro/OG.OIBLQ91F_1dJNSc.jpg,invofox-114,2026-06-06T16:30:31.702279+00:00
InfraNodus,AI text analysis and insight tool for research and exploration,€12/mo,"[""Graph to theory"", ""AI Text Analysis"", ""Research Tool""]",90,https://infranodus.com,"[""Full Graph Analytics"", ""AI Credits"", ""Chrome Extension""]",https://infranodus.com/images/front/infranodus-screenshot.jpg,infranodus-130,2026-06-10T10:24:40.362892+00:00
Invideo,Free AI video generator with a user-friendly interface and social media templates.,Free,"[""advirtisement video"", ""Generative AI"", ""Video Editing""]",95,https://invideo.io,"[""AI Templates"", ""Easy Editing"", ""Social Media""]",,invideo-12,2026-05-28T14:19:57.314967+00:00
Adobe,Create stunning posters with AI-powered layout suggestions and seamless integration with professional design tools.,Free,"[""poster design"", ""Generative AI"", ""Productivity""]",95,https://www.adobe.com,"[""AI Layout"", ""Stock Integration"", ""Brand Management""]",,adobe-13,2026-05-28T14:24:06.360174+00:00
Neolemon,AI character generator for consistent characters with community models,Freemium,"[""character"", ""AI Generator"", ""Consistency""]",90,https://www.neolemon.com,"[""Real-time Sync"", ""No-code Builder"", ""GPT-4 Native""]",https://consistent-character-euhjcxh8fsh8fcbk.z02.azurefd.net/website/og-image.jpg,neolemon-2,2026-05-28T14:17:43.717008+00:00
Orderry,All-in-one repair shop management software with POS and CRM for cell phone repair shops,Free Trial,"[""phone repair"", ""repair shop software"", ""POS""]",90,https://orderry.com,"[""Mobile App"", ""POS System"", ""CRM""]",https://orderry.com/uploads/shared_soc_images/ea/e6/site-fbp0u7140_c25ab8b8.png?v=498,orderry-4,2026-05-28T14:18:34.382956+00:00
Maze,AI tools for product designers to enhance design workflow,"Free Plan, $12/mo, $39/mo","[""prodcut design"", ""Generative AI"", ""Productivity""]",90,https://maze.co,"[""Real-time Sync"", ""No-code Builder"", ""GPT-4 Native""]",https://www.datocms-assets.com/38511/1762727117-og-image-default.jpg?auto=format,maze-7,2026-05-28T14:19:22.052654+00:00
Figma,AI-powered product design tool for collaborative UI/UX design,"Free, Paid","[""prodcut design"", ""Collaborative Design"", ""AI Automation""]",95,https://www.figma.com,"[""Vector Design"", ""Prototyping"", ""AI Automation""]",https://cdn.sanity.io/images/599r6htc/regionalized/342e17642c7afa81206490b0dd21c3e5724ae040-2400x1260.png?w=1200&q=70&fit=max&auto=format,figma-8,2026-05-28T14:19:23.328922+00:00
Rendair AI,AI tool for product designers to create high-fidelity visualizations and renderings,"Free trial, Subscription","[""prodcut design"", ""Visualization"", ""Rendering""]",92,https://rendair.ai,"[""High-fidelity Sketch"", ""Quick Rendering"", ""AI-powered""]",https://framerusercontent.com/assets/GnSID3O8ELYM0bOcshG1qpFzVSM.png,rendair-ai-9,2026-05-28T14:19:23.771171+00:00
AdCreative.ai,AI ad creative generator for high-converting ads with a free trial.,Paid,"[""advirtisement video"", ""Generative AI"", ""Marketing""]",92,https://www.adcreative.ai,"[""AI Ads"", ""Fast Creation"", ""High Conversion""]",https://cdn.prod.website-files.com/661ce890f68a1d352ebbed35/6798994af847e3d5f12f2e3f_Home.png,adcreative-ai-11,2026-05-28T14:19:56.816862+00:00
Design.com,Generate posters with a large library of professionally crafted templates and AI-powered design tools.,Free,"[""poster design"", ""AI Generator"", ""Templates""]",90,https://www.design.com,"[""Large Template"", ""AI Powered"", ""Pro Designs""]",https://bcassetcdn.com/assets/images/designcom/logos/dcom-logo-white-blackbackground.en-us.svg,design-com-14,2026-05-28T14:24:07.282659+00:00
CapCut,Create and adapt posters for different platforms efficiently with multi-format support and fast resizing features.,Freemium,"[""poster design"", ""AI Design"", ""Social Media""]",92,https://www.capcut.com,"[""Multi Format"", ""Fast Resizing"", ""AI Design""]",https://p16-seeyou-useast8.capcutcdn-us.com/tos-useast5-i-2zwwjm3azk-tx/af60401275b14f6684c2af1f7564d717~tplv-2zwwjm3azk-image.image,capcut-15,2026-05-28T14:24:08.173456+00:00
Wondershare PDFelement,"Easy PDF solution to create, convert, and edit PDFs with AI-powered features.",Paid,"[""pdf ediy"", ""AI PDF Editor"", ""Productivity""]",92,https://pdf.wondershare.com,"[""AI Summarizing"", ""Smart Editing"", ""Fast Conversion""]",https://images.wondershare.com/pdfelement/2025images/share-pdfelement.png,wondershare-pdfelement-16,2026-05-28T14:25:44.785164+00:00
LightPDF,"AI-powered free online PDF editor, converter, and reader.",Free,"[""pdf ediy"", ""AI Tools"", ""Online PDF Editor""]",95,https://lightpdf.com,"[""AI Conversion"", ""Easy Editing"", ""Fast OCR""]",https://webusupload.aoscdn.com/lightpdf/wp-content/uploads/2025/04/x600.png,lightpdf-18,2026-05-28T14:25:46.154625+00:00
Inkfluence AI,"Best AI PDF Editor for creation, editing, and summarizing",Freemium,"[""pdf edit"", ""AI PDF Editor"", ""Content Generation""]",90,https://www.inkfluenceai.com,"[""Content Generation"", ""AI Editing"", ""Easy Convert""]",https://www.inkfluenceai.com/images/og-share.webp,inkfluence-ai-19,2026-05-28T14:25:52.274666+00:00
Cursor,AI coding agent for developers,Paid,"[""coding agents"", ""Generative AI"", ""Productivity""]",90,https://cursor.com,"[""AI Code Assist"", ""Real-time Feedback"", ""Token Based""]",https://cursor.com/public/opengraph-image.png,cursor-20,2026-05-28T14:30:02.224109+00:00
IBM AI Coding Agent,Automate end-to-end workflow automation,Paid,"[""coding agents"", ""Automation"", ""Efficiency""]",92,https://www.ibm.com/products/ai-coding-agent,"[""Faster Delivery"", ""Lower Costs"", ""Optimized AI""]",https://www.ibm.com/content/dam/worldwide-content/creative-assets/s-migr/ul/g/7d/df/ls-leadspace-bob.png/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,ibm-ai-coding-agent-21,2026-05-28T14:30:02.690974+00:00
RepairDesk,Cloud-based point of sale repair shop software with unified communication ecosystem,Free Trial,"[""phone repair"", ""repair shop software"", ""cloud-based""]",92,https://www.repairdesk.co,"[""All-in-One"", ""Cloud-Based"", ""AI Receptionist""]",https://d1v4k1xgetr2r1.cloudfront.net/rd-cdn/2025/10/15064245/2e23d752b0a445840ceb41b9f98d9772.webp,repairdesk-5,2026-05-28T14:18:34.868983+00:00
YouCam Perfect,AI photo editor app with in-app purchases for premium features and pro version.,Paid,"[""face edit="", ""AI Photo Editing"", ""Beauty""]",80,https://www.youcam.com,"[""AI Beauty"", ""Photo Editing"", ""Pro Version""]",,youcam-perfect-30,2026-05-28T14:40:19.35071+00:00
YouCam Perfect,Comprehensive AI photo editor and beauty camera app,Freemium,"[""face edit"", ""AI Photo Editor"", ""Beauty Camera""]",90,https://www.youcamapps.com/perfect,"[""AI Agent"", ""Quality Enhancer"", ""Background Remover""]",,youcam-perfect-31,2026-05-28T14:40:20.629485+00:00
Segments.ai,Efficient data labeling tool with AI-powered features.,Paid,"[""data labeling"", ""AI Labeling"", ""Image Segmentation""]",92,https://segments.ai,"[""Fast Labeling"", ""Easy Use"", ""Auto Segmentation""]",,segments-ai-34,2026-05-28T14:46:49.377622+00:00
MyEdit,AI character generator for text-to-image and image-to-video creation,Freemium,"[""Character "", ""AI Generator"", ""Image Editing""]",88,https://myedit.ai,"[""Text-to-image"", ""Image Editing"", ""30+ Styles""]",,myedit-35,2026-05-28T15:08:53.534571+00:00
Spotify AI Remix,AI-powered remix and cover song tool for music creators.,Paid Add-on,"[""New music friday"", ""AI Music"", ""Remixing""]",85,https://www.spotify.com,"[""AI Remixing"", ""Cover Songs"", ""Premium Only""]",,spotify-ai-remix-39,2026-05-28T15:09:40.297898+00:00
Eddie AI,AI video editor built to work with professional video editing software,Paid,"[""Video edit"", ""AI Assistant"", ""Productivity""]",90,https://eddie.ai,"[""Pro Editor"", ""AI Sync"", ""Real-time""]",,eddie-ai-43,2026-05-28T15:10:40.808946+00:00
Adobe Firefly,AI video editor for online video editing and creative control,Paid,"[""Video edit"", ""AI Video Editor"", ""Creative Cloud""]",95,https://www.adobe.com/products/firefly.html,"[""AI Editing"", ""Creative Cloud"", ""Online Video""]",,adobe-firefly-44,2026-05-28T15:10:42.331119+00:00
Writesonic,AI-powered SEO tool for speeding up research and content creation,Freemium,"[""seo tools"", ""Content Creation"", ""Productivity""]",92,https://writesonic.com,"[""Real-time Data"", ""AI Writing"", ""Speedy Research""]",https://writesonic.com/opengraph-image,writesonic-24,2026-05-28T14:30:53.691642+00:00
Facetune,Everyday editing tool companion with AI face editor,Freemium,"[""face edit"", ""AI Photo Editor"", ""Beauty Camera""]",92,https://www.facetuneapp.com,"[""AI Headshot"", ""Blemish Remover"", ""Teeth Whitening""]",https://cdn.prod.website-files.com/650865454c2393ac25711ff2/65b63adadc53d03540a1db0f_thumbnail-new.webp,facetune-26,2026-05-28T14:40:07.499969+00:00
